ECG_mean,ECG_std,ECG_max,ECG_min,ECG_power,BP_mean,BP_std,BP_max,BP_min,BP_power,EEG (C3-O1)_mean,EEG (C3-O1)_std,EEG (C3-O1)_max,EEG (C3-O1)_min,EEG (C3-O1)_power,Resp (nasal)_mean,Resp (nasal)_std,Resp (nasal)_max,Resp (nasal)_min,Resp (nasal)_power,Resp (abdominal)_mean,Resp (abdominal)_std,Resp (abdominal)_max,Resp (abdominal)_min,Resp (abdominal)_power,EOG (right)_mean,EOG (right)_std,EOG (right)_max,EOG (right)_min,EOG (right)_power,EMG_mean,EMG_std,EMG_max,EMG_min,EMG_power,H,HA,OA,X,CA,CAA,L,LA,A,W,1,2,3,4,R
-0.11434853333333334,0.3942560638187432,3.276,-3.274,0.10218122298194124,103.38075922286923,16.60700751323166,165.58798608231626,79.8644287800393,282.3483279209185,-0.0004541299910669853,0.026492648988350936,0.1665746431542276,-0.16957878783797922,0.0003437636992143508,-0.024482453637660488,0.23281624453522945,0.47860199714693297,-0.3288159771754636,0.005702096409451305,-0.2871156862745098,0.218500659012174,0.803921568627451,-0.6875,0.0075319181955980025,0.004373232166388286,0.1275562345928534,0.6874092477107341,-0.6869895839453429,0.0029414499761409073,-0.002710377250450016,0.005445593918041216,0.04809965261362001,-0.048070287746334525,2.7783188923962894e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.12075173333333333,0.4049868827056775,3.276,-3.274,0.16559744641905239,102.30532369431575,17.969038598364474,161.08096414213344,71.39122753249563,325.33763571570785,0.00019990338394453876,0.03433302361538333,0.16968237903397065,-0.16957878783797922,0.0006294935919123968,-0.027901283880171192,0.27125455143059224,0.5620542082738944,-0.9621968616262482,0.009119119535802266,-0.4053084150326797,0.27754115518730865,0.6905637254901961,-0.9019607843137255,0.006148654562232224,0.004291873351071125,0.19128309277308259,0.6874092477107341,-0.6869895839453429,0.01617136682961526,-0.0026098436908114394,0.021433582339761188,0.04809965261362001,-0.048070287746334525,0.0004824121921760604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11904613333333333,0.21626918166577092,1.314,-0.888,0.04953466411823371,100.63825440035578,16.73146992246368,142.60217418738395,78.69260307559178,322.6024608086196,-0.00048486204587777827,0.009650992780402304,0.047651950156060136,-0.04060774882864255,8.799476101910467e-05,-0.04201445553970519,0.22540058509704797,0.3630527817403709,-0.3195435092724679,0.003440652993409747,-0.3482040849673203,0.11123943047147239,-0.11151960784313726,-0.5814950980392157,0.0006966507306319234,0.0032987250614807417,0.012112283259854266,0.04910066055076672,-0.03441242876207582,6.318465363396978e-05,-0.0027275067563665477,0.001829188878429182,0.009044379123928548,-0.008515811512789868,3.438450010790389e-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11967386666666667,0.24804431815782885,2.376,-0.88,0.06360177741847943,104.07451609607769,17.466768370611103,153.86972903784095,79.59400746362833,343.8436301388075,-0.00033377083348440335,0.019789829975614858,0.16968237903397065,-0.11436468037454432,0.0002184111995319345,-0.033088920589633856,0.21149372394758617,0.3637660485021398,-0.31383737517831667,0.003876055057384187,-0.3072489379084967,0.1453332779809455,-0.00980392156862745,-0.5821078431372549,0.00133704296076486,0.005780168928654361,0.10317905404473592,0.35167823539779924,-0.6001191845093711,0.0026765174952034358,-0.002686419434060701,0.0052896344827715,0.04809965261362001,-0.048070287746334525,2.8910025610217173e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11612053333333333,0.4283769161284436,3.276,-3.152,0.19032688970378472,106.7199576940874,19.752733078715657,188.12309578323027,76.88979429951866,355.07274190967337,-0.0007293510805770307,0.02102851624335891,0.13021413336123389,-0.16957878783797922,0.0003098400266037225,-0.02642929148834998,0.2171222035639044,0.4579172610556348,-0.37375178316690444,0.006167636296634673,-0.3652045751633987,0.38375993798589364,0.8131127450980392,-0.9129901960784313,0.003425457874561879,6.418057852049041e-05,0.14806283826946098,0.5707427209319893,-0.587529271547636,0.00545363683848863,-0.002581375430807073,0.01066362897988365,0.04809965261362001,-0.048070287746334525,0.00011822015438339888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11940133333333333,0.2067505434049019,1.236,-0.896,0.044339685029689685,101.66703323778448,16.664368067282393,144.31484252465341,79.14330526961005,316.58784916209675,-0.0006343924842515485,0.011418455174443662,0.049827365271880274,-0.045580126236231436,0.00012501890582984442,-0.03118335710889205,0.2292132440049019,0.3680456490727532,-0.3466476462196862,0.004345266678460607,-0.3246766339869281,0.09668368438947243,-0.11274509803921569,-0.45159313725490197,0.0005554105323910135,0.006589840220015723,0.021453875512944198,0.12002383690187421,-0.051618643143113735,0.0001274576668992193,-0.002708008484488987,0.003252374686633941,0.02032048816155375,-0.016708609485439428,1.0794028837989826e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11974613333333334,0.20492465367800158,1.23,-0.88,0.04387992849477848,101.6815278203441,16.23707414941377,143.68385945302782,79.77428834123565,298.3156464645213,-0.0003917266546017454,0.010744112552352286,0.04972377407588884,-0.04319752872842843,0.00011274639701007219,-0.03381046124583928,0.22296077515849316,0.3730385164051355,-0.3566333808844508,0.0033845668703844597,-0.33040776143790845,0.10574181474591032,-0.10845588235294118,-0.4742647058823529,0.0005027441546496478,0.002667103116982673,0.01534973946290521,0.05539561703163425,-0.06882485752415164,0.00010091792751503267,-0.002719496020571068,0.0020215292020812213,0.006607095139233517,-0.012949906472897694,4.203999743036593e-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11876186666666666,0.2084769540241372,1.24,-0.87,0.04532539862086703,101.8075922286923,15.865806914790257,141.97119111575836,77.88133912635887,289.840640615784,-0.0007541715311365785,0.011473293025784096,0.05821825214718652,-0.043301119924419866,8.5961400877541e-05,-0.02054835948644793,0.21396864509571875,0.3930099857346648,-0.3559201141226819,0.00332461250495165,-0.3465389705882353,0.12950822934240264,-0.07904411764705882,-0.5747549019607843,0.0010167827257438172,0.0037433448321205045,0.06262259415027552,0.16786550615646742,-0.21318919281871362,0.001218026193799213,-0.0027148289643304955,0.0021515184224230087,0.008457081778218902,-0.014711798510026632,4.738815758103214e-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.12034293333333332,0.21049354510307963,1.202,-0.896,0.04670631864483975,97.80886621356072,15.254460719255292,138.1852926860048,76.34895166669672,267.15607206897704,-0.0006132046316314334,0.015168666525715949,0.16968237903397065,-0.16160226574663872,0.0002157865405161019,-0.027632049453162152,0.22496826562836633,0.3651925820256776,-0.34236804564907275,0.003985258166838333,-0.3224131535947712,0.09694518993024707,-0.0778186274509804,-0.47181372549019607,0.00048002869129814223,0.0031328739413981513,0.039311464344229295,0.15107895554082068,-0.2568342244193952,0.0002758482342654787,-0.002750552304212194,0.004518853791871216,0.04809965261362001,-0.048070287746334525,2.0904470385503913e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.11880479999999999,0.2078102487774845,1.214,-0.864,0.04521803038213919,100.81997752498393,15.61541500934226,142.51203374858028,79.23344570841371,276.6984261253594,-0.0008449036066656101,0.01278882841631111,0.047548358960068704,-0.04464780547230852,9.117849731365885e-05,-0.031068283404660012,0.22677245389108852,0.42368045649072755,-0.34807417974322397,0.003338412357928947,-0.34887606209150324,0.12053322094182864,-0.09191176470588236,-0.5386029411764706,0.0007846949536696817,0.00031687412045469237,0.053032295949502435,0.12757778467891526,-0.14394467152917081,0.0004270885815187198,-0.002719942366553807,0.0020999674455537127,0.015475285059449173,-0.019380812408418317,4.516851118386448e-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
