ECG_mean,ECG_std,ECG_max,ECG_min,ECG_power,BP_mean,BP_std,BP_max,BP_min,BP_power,EEG (C4-A1)_mean,EEG (C4-A1)_std,EEG (C4-A1)_max,EEG (C4-A1)_min,EEG (C4-A1)_power,Resp (nasal)_mean,Resp (nasal)_std,Resp (nasal)_max,Resp (nasal)_min,Resp (nasal)_power,Resp (abdominal)_mean,Resp (abdominal)_std,Resp (abdominal)_max,Resp (abdominal)_min,Resp (abdominal)_power,EOG (right)_mean,EOG (right)_std,EOG (right)_max,EOG (right)_min,EOG (right)_power,EMG_mean,EMG_std,EMG_max,EMG_min,EMG_power,H,HA,OA,X,CA,CAA,L,LA,A,W,1,2,3,4,R
-0.029338801261829653,0.11385267719910926,0.6788643533123029,-0.3646687697160883,0.013542394029589216,95.31321333333334,19.26668433871854,148.5,62.9,390.7622395271577,-0.001186317019542722,0.014470568096538069,0.06965265925550071,-0.09438857880898566,0.000179994865391738,-0.16861734612310153,0.06041332137939315,0.02877697841726619,-0.3105515587529976,0.0006336183978072668,-0.015555765595463143,0.20769299223508858,0.5378071833648393,-0.45132325141776936,0.0031570967674640917,0.0327247746322948,0.09387409400297482,0.37709552427645104,-0.4275067214929622,0.0017322728218373644,0.008244547704988316,0.01461900255097412,0.05663195452848194,-0.044323666486882685,0.0002063771081716216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.029220946372239747,0.10534903525686172,0.682018927444795,-0.3646687697160883,0.011353192515977228,91.98234666666666,18.637162168451386,144.1,66.1,383.8252000091299,-0.0011102218737026616,0.006898280165462,0.031020803542598827,-0.026696342082199363,3.401805907057621e-05,-0.17004844124700239,0.056149454666518696,0.049760191846522785,-0.3447242206235012,0.0006329690983129471,-0.07685122873345937,0.3167593223999701,0.6989603024574669,-0.665406427221172,0.0019467979788676095,0.03796753914281195,0.06535127526783562,0.28072117665665036,-0.28269808635141547,0.0010221746145034397,0.008225665776966446,0.015507573001642417,0.05663195452848194,-0.042629548189022114,0.00023978229195944627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.029287907465825446,0.12020115682652413,0.7419558359621451,-0.3899053627760252,0.015212833658116615,100.66509333333333,20.278230499510773,155.4,69.5,427.53180071716383,-0.001262473668834663,0.006010495888915419,0.02813782923566585,-0.02306379445546381,3.210517043729723e-05,-0.16650535571542768,0.07306394607631506,0.16666666666666666,-0.368705035971223,0.001573626739577867,-0.02678380592312539,0.21200159246220796,0.6776937618147448,-0.361531190926276,0.0027582813748649824,0.0327415783647003,0.0421652140666261,0.14233749802309031,-0.13690099636248618,0.0003899373602912507,0.008278245677117187,0.014317879785568609,0.05663195452848194,-0.04159233290461768,0.00020618954407908472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.029059179810725554,0.1231287157760207,0.7772870662460568,-0.3924290220820189,0.01599178014637639,96.03305333333333,21.551159028626643,159.2,64.0,422.70920698390097,-0.0011129587773113766,0.006271086066227324,0.032692928640619956,-0.020123160662392177,3.419088362117745e-05,-0.17018649080735412,0.06621742282703924,0.06894484412470024,-0.44364508393285373,0.0007167536329233688,-0.05303673597983617,0.2833418689079233,0.7069943289224953,-0.6843100189035917,0.003419339346860144,0.0343990194527914,0.03897977741056586,0.1710026885971849,-0.06375533765617587,0.0001771049568060993,0.008406390168121074,0.01452010753416828,0.05663195452848194,-0.041626906747431164,0.0002142491597228535,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
-0.028658170347003156,0.12590930972844275,0.7968454258675078,-0.852365930599369,0.0162790776911487,92.09241333333334,21.182470546243866,164.9,40.0,373.9156432470513,-0.001254854928732875,0.006616434231288703,0.03332718298814521,-0.027330596429724616,3.745950038191528e-05,-0.16561766586730617,0.06424170371575273,0.03836930455635491,-0.42206235011990406,0.0005307732922429241,0.046333459357277874,0.25013429098548695,0.7032136105860114,-0.40217391304347827,0.0034191306061385355,0.03347665928620381,0.038255518980135905,0.16507195951288947,-0.07611102324845802,0.00023163391661983542,0.008236037929810489,0.016238888154448513,0.05663195452848194,-0.04269869587464908,0.00027162392100792327,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
-0.029590662460567827,0.1152918882176473,0.7779179810725552,-0.7463722397476341,0.014077016867242715,87.28531999999998,20.93941079633331,160.6,59.1,358.7485548903868,-0.0013845810846133738,0.005811130034249232,0.02698463951289266,-0.020065501176253515,2.7698835133912272e-05,-0.17367274180655476,0.07085234169612684,0.030575539568345324,-0.36810551558752996,0.0006894928581256893,-0.07731014492753624,0.15549680815105832,0.4881852551984877,-0.43667296786389415,0.0008982696732508826,0.035041712794559546,0.049793161193407924,0.19373715008698403,-0.11713189941483473,0.00029055455149106825,0.008200224038501432,0.013780044426854923,0.05663195452848194,-0.04093542989116154,0.00019304585356367623,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-0.028203995793901156,0.12697845046476897,0.7690851735015772,-0.40126182965299684,0.016655438767798663,91.12666666666667,19.237200165882307,142.8,59.2,381.653067350115,-0.0011377216046250596,0.007215301095987561,0.03863185571290188,-0.03038654919507357,4.492106145558728e-05,-0.16780663469224621,0.04331061294414984,0.017985611510791366,-0.3645083932853717,0.00030945489418823303,-0.0543476370510397,0.08452113731385692,0.27977315689981097,-0.20652173913043478,0.00035626961552397704,0.033085297063630136,0.04196343622379877,0.20955242764510518,-0.10873003321208288,0.0003785360540835362,0.008319397769756647,0.01585733694591334,0.05663195452848194,-0.04173062827587161,0.0002502978817372754,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
-0.02939381703470031,0.11883064735060699,0.762776025236593,-0.4075709779179811,0.015009558835526866,93.95394666666668,23.11087170771559,166.0,58.8,417.9775962666813,-0.0012514491750849515,0.006344772320690109,0.031136122514876147,-0.028772083583191107,3.520999995924705e-05,-0.16926690647482015,0.07989346874033794,0.17086330935251798,-0.49160671462829736,0.0007277359668716065,-0.03527851291745431,0.18844545667830814,0.6824196597353497,-0.3785444234404537,0.0010609554786046335,0.03494774368706837,0.04731069015463268,0.15518741103906375,-0.14134904317570773,0.00034007148083645865,0.008340515472947122,0.013742806024505309,0.05663195452848194,-0.04173062827587161,0.0001962870297306387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.029635162986330177,0.12177681524797337,0.7646687697160883,-0.42649842271293376,0.01570016894297321,97.02030666666667,24.784090373449033,167.2,58.0,466.99262333397684,-0.0012000553531066932,0.007420464046407423,0.03667143318418746,-0.035806540892107566,4.914031709244366e-05,-0.16906978417266189,0.07354651926493125,0.16546762589928057,-0.500599520383693,0.001536770107819123,-0.029705797101449275,0.15061736680042367,0.497164461247637,-0.305765595463138,0.0012103964929738402,0.03344911434445674,0.044779925152982916,0.16507195951288947,-0.07265143128261901,0.0003258711011257334,0.008263881397889613,0.01572141265227974,0.05663195452848194,-0.04259497434620863,0.00025506833546551193,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
-0.02917779179810726,0.12488324870735996,0.7974763406940063,-0.4195583596214511,0.015934311493959297,91.77290666666667,23.75350633663633,165.5,54.9,402.928647494425,-0.001322923874102434,0.007669882741172932,0.041168873103002906,-0.03874717468517921,5.296878761426005e-05,-0.16932062350119903,0.07052557027111808,0.07793764988009592,-0.4802158273381295,0.0009030701637769577,-0.03402904851921865,0.1414291098526207,0.4792060491493384,-0.3331758034026465,0.0012729901072710058,0.0334699377932416,0.04341761944840006,0.16902577890241974,-0.1359125415151036,0.0002837911003618199,0.00855473039317374,0.01718964611777443,0.05663195452848194,-0.04173062827587161,0.0003052303547063603,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
