ECG_mean,ECG_std,ECG_max,ECG_min,ECG_power,BP_mean,BP_std,BP_max,BP_min,BP_power,EEG (C3-O1)_mean,EEG (C3-O1)_std,EEG (C3-O1)_max,EEG (C3-O1)_min,EEG (C3-O1)_power,Resp (abdominal)_mean,Resp (abdominal)_std,Resp (abdominal)_max,Resp (abdominal)_min,Resp (abdominal)_power,Resp (nasal)_mean,Resp (nasal)_std,Resp (nasal)_max,Resp (nasal)_min,Resp (nasal)_power,SV_mean,SV_std,SV_max,SV_min,SV_power,SO2_mean,SO2_std,SO2_max,SO2_min,SO2_power,H,HA,OA,X,CA,CAA,L,LA,A,W,1,2,3,4,R
-0.8254669333333334,0.16457476874234261,0.384,-1.028,0.028412506426192728,97.41559587448124,21.204174540886207,151.79834570782432,65.40064781062726,497.6340533176376,0.00934599587117831,0.0048579262901695475,0.029079665399799386,-0.014263759927116787,1.6101610064515317e-05,-0.007773066666666661,0.17318069552136064,0.543,-0.213,0.002644826019213441,-0.2684342666666667,0.16766926038820856,0.179,-0.664,0.006005935219076425,-53.08490226620591,23.984518437612916,10.755504603988648,-116.1594497230774,557.3438504830134,96.40148638263956,0.07825245245601639,96.61894832109289,96.19088968929057,0.004015816420638179,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8249482666666667,0.16548040122724167,0.414,-1.04,0.028237665934173373,97.55410756226541,21.64544560576193,155.24048506627838,65.57275477854996,521.4615769539377,0.009172119103929129,0.0046754644022022045,0.026226913414376028,-0.013619590123956674,1.492908260099256e-05,-0.01629533333333334,0.1600505257042982,0.516,-0.198,0.0021037076105798274,-0.27282999999999996,0.161011627840973,0.059,-0.623,0.004524304155366335,-54.50122085521868,26.00597182185768,6.832908807239847,-137.6704589310547,609.9792759347467,96.36762490648957,0.06903852300264486,96.61894832109289,96.12973845617596,0.003602118358629044,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
-0.8246562666666667,0.16578022312908403,0.384,-1.052,0.028305326253204543,95.50573632524086,21.765776000900164,155.92891293796922,62.3027223880186,525.9369968832987,0.009281824288882549,0.00554537207266022,0.03524529065861761,-0.015276026760654107,1.544936675918967e-05,0.0033256000000000028,0.21155724737756762,0.726,-0.32,0.003044097252752305,-0.2617378666666667,0.1442715183930941,0.021,-0.616,0.0033000901002990346,-55.53958679460234,29.08853076803438,16.70266597325296,-140.07463054841685,702.9327066431821,96.39484128197444,0.07329754311203197,96.6800995542075,96.12973845617596,0.00410268746930456,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8248669333333333,0.16822271871914987,0.436,-1.046,0.029227253516485797,98.46212097742989,22.268452243481416,159.19894532850057,66.43328961816349,562.33782338585,0.009255002285269064,0.004274887858429373,0.027607277278290557,-0.006257649516412526,1.2678932925749353e-05,-0.03805453333333334,0.21188105930635287,0.708,-0.33,0.0026115841340012694,-0.2777317333333333,0.13721233970138724,0.003,-0.651,0.0031300347684438323,-54.54272444945524,29.595575193910832,22.64982734251727,-131.21715616866152,642.5726738222637,96.37431892814116,0.06508130432344089,96.61894832109289,96.12973845617596,0.0038117620177299753,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8247765333333332,0.17163360877942552,0.432,-1.052,0.030614682336086704,98.51988007586475,24.13525833012529,162.64108468695463,51.11576947304288,580.5208899044896,0.009293247566725255,0.007834367639507834,0.05815933079959877,-0.04831273523700847,3.4164630459213475e-05,-0.009935066666666664,0.19577735905102908,0.618,-0.322,0.0026642718088346787,-0.2666476,0.1595103205048919,0.117,-0.621,0.003917976123862725,-49.52930959361486,30.098070451978796,18.34762550092181,-146.7810040073745,743.5726604398562,96.37825706755376,0.0659499534982961,96.6800995542075,96.19088968929057,0.004014107272799163,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
-0.8250474666666666,0.1679025602750463,0.438,-1.056,0.03042855375308325,95.72311889952512,24.074537863019113,166.94375888502222,50.59944856927478,549.6901621459144,0.009138671353768852,0.007547070907142554,0.044079619387670584,-0.029999907975742403,3.7399914696804504e-05,-0.01309040000000001,0.24032971260577277,0.983,-0.459,0.003507567407535443,-0.2670788,0.1660861729862744,0.174,-0.741,0.004866986491158742,-51.164399364117706,32.558911719753574,24.67439291503278,-149.31171097301888,764.6423394636831,96.40143746165306,0.0790364471940218,96.61894832109289,96.12973845617596,0.004413079973554246,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
-0.8243754666666667,0.1669147897125423,0.494,-1.048,0.028973563162098717,93.09226884026293,25.25393694156264,169.00904250009467,54.38580186357425,550.8370653435036,0.009252658734175662,0.008992354002370914,0.061012082785022126,-0.041871037205407344,6.720219534546494e-05,-0.01688413333333333,0.19895494441769696,1.019,-0.249,0.0024000772001816955,-0.2692426666666667,0.1740502243019398,0.293,-1.067,0.006665901112462194,-54.09062208573277,32.95062220860546,23.282504083928366,-142.09919612093236,807.9745369376387,96.39923601726093,0.08197679705717567,96.61894832109289,96.12973845617596,0.004269724775963657,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
-0.8240365333333334,0.16454364608004635,0.468,-1.074,0.027582433793683674,94.85985329602055,23.004926341175782,163.67372649449086,57.483727286182905,545.0550475141573,0.009321026622617721,0.004496274772090276,0.03174836887003414,-0.009662547047401694,1.531235295974962e-05,0.010639333333333337,0.23943916176394833,0.878,-0.376,0.003323916271540942,-0.26605106666666667,0.17218004973146248,0.202,-0.764,0.003653960510907395,-52.56080972500072,32.39963428589516,25.307069656443876,-143.87069099688344,715.3497152537082,96.39395255071983,0.07799854100054188,96.61894832109289,96.19088968929057,0.004354441207434775,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
-0.8244546666666667,0.16376460080927815,0.464,-1.05,0.02778290111158565,96.20717548370662,22.28769320985275,158.16630352096433,60.23743877294616,531.5552939072148,0.009155849215186454,0.00452493130928339,0.026871083217536142,-0.014815905472682599,1.4228820859214631e-05,-0.022132799999999998,0.17929216667447206,0.714,-0.321,0.002139979364413397,-0.2738798666666667,0.12294449628992028,0.171,-0.625,0.0024836677450468365,-57.56222902982396,29.43203201786888,20.119120376872882,-139.6950245035702,670.1008925307814,96.37538703634624,0.06798453504492519,96.6800995542075,96.12973845617596,0.003919414227991952,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
-0.8250597333333333,0.1714750319004555,0.454,-1.086,0.030835829317654773,98.30185496890026,24.610257998789525,173.31171669816223,55.93476457487858,573.1139341073774,0.009112475115107009,0.005670532979964553,0.03865018818960678,-0.011134935168910525,2.129369416951456e-05,-0.0066777333333333366,0.31051467900492064,1.273,-0.636,0.004042763306738821,-0.2753928,0.17347261640239747,0.252,-0.726,0.0033007555823726118,-46.10808058951975,35.60960389656869,40.87091749515686,-157.40997326308093,653.8568098325597,96.36835872128692,0.06339376956154578,96.55779708797827,96.12973845617596,0.003915729830604611,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
