ECG_mean,ECG_std,ECG_max,ECG_min,ECG_power,BP_mean,BP_std,BP_max,BP_min,BP_power,EEG (O2-A1)_mean,EEG (O2-A1)_std,EEG (O2-A1)_max,EEG (O2-A1)_min,EEG (O2-A1)_power,Resp (nasal)_mean,Resp (nasal)_std,Resp (nasal)_max,Resp (nasal)_min,Resp (nasal)_power,H,HA,OA,X,CA,CAA,L,LA,A,W,1,2,3,4,R
0.08380826666666669,0.1133487787244701,0.888,-1.734,0.013148466558045049,105.77402065495399,16.12248492105157,146.42503571703807,80.0298778210532,295.202288115183,-4.43855421686747e-05,0.011815156514991685,0.06506024096385542,-0.04481927710843373,7.738179677880012e-05,-0.376510752688172,0.2149821076186069,0.3870967741935484,-1.717741935483871,0.008414664526929846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08571253333333334,0.10767269676933991,0.86,-0.352,0.011787331185051356,106.06471024902795,16.189093999172446,148.00587280979963,82.40113346019551,296.2499951636931,-0.0009392771084337349,0.010485016382862469,0.03253012048192771,-0.04530120481927711,5.958739601110494e-05,-0.3845118279569893,0.22346756125972347,1.25,-0.7580645161290323,0.0075456459090840295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08527360000000002,0.10789554119474384,0.878,-0.358,0.01207562128588325,106.76217557435434,16.15794955837685,149.58670990256115,82.59873809679071,299.6292819792822,-0.0003908433734939761,0.011769321616011182,0.036987951807228914,-0.05602409638554217,6.876365985154585e-05,-0.3684311827956989,0.21283436113106088,0.06451612903225806,-0.717741935483871,0.0073231170457276245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08610586666666668,0.10657394299537867,0.878,-0.362,0.011580745769932732,105.79299070006714,16.345822996063266,147.41305890001405,74.89215726957818,294.51907866697076,-0.00031227309236947807,0.008659552339447667,0.03,-0.04048192771084337,4.911740296081808e-05,-0.38091505376344087,0.21980177033801981,0.06451612903225806,-0.7903225806451613,0.007720659361019822,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08531066666666667,0.1070243437395852,0.876,-0.352,0.011926567628016431,105.29668689479465,16.076314189994196,149.58670990256115,80.82029636743397,297.2542433201587,-0.00028991164658634546,0.009747638652181116,0.0327710843373494,-0.03385542168674699,4.885506770917719e-05,-0.3735817204301075,0.21562095294963246,0.03225806451612903,-0.7661290322580645,0.006858243976796614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08580320000000001,0.10702248830546474,0.862,-0.362,0.011909473926216035,105.4867035133446,16.11210750103662,147.41305890001405,77.65862218191089,297.391986826492,-0.00048154216867469883,0.012179972958709009,0.04253012048192771,-0.04867469879518072,9.254327608386172e-05,-0.3746709677419354,0.1972291698300275,0.03225806451612903,-0.8467741935483871,0.006417430088222422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08614613333333333,0.10879913715213411,0.888,-0.348,0.011960373771802568,106.17987423123566,16.440627965226057,148.00587280979963,76.27538972574453,296.8844967919001,-0.0004257510040160642,0.012125286237585551,0.03903614457831325,-0.045180722891566265,9.056244219756018e-05,-0.3758989247311828,0.22540340015509958,0.056451612903225805,-0.7741935483870968,0.007757532565229028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08561200000000002,0.10686699703837475,0.868,-0.356,0.011862933609077904,106.62108586382539,16.332949860642053,146.82024499022847,75.88018045255414,298.7836510171013,-0.0005413493975903612,0.00927956600768306,0.02903614457831325,-0.040843373493975904,5.102771351783616e-05,-0.37788279569892474,0.21572540210728192,0.024193548387096774,-0.7661290322580645,0.0067244411076150395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08555466666666667,0.10767101534251866,0.88,-0.356,0.012192702550444377,107.00148796291357,16.143622475240523,149.19150062937078,83.19155200657629,294.6120881879279,-0.0001152610441767069,0.009686470546582594,0.025421686746987953,-0.034457831325301204,4.938347954053186e-05,-0.3622494623655914,0.23102004858144207,0.03225806451612903,-0.8145161290322581,0.008194750705654287,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08597066666666667,0.10873102810554533,0.888,-0.352,0.012216751583171023,107.00707358730799,16.36326975421023,147.80826817320443,81.41311027721954,299.84615361762405,-0.0007896064257028111,0.012793266886983418,0.04662650602409638,-0.03843373493975904,8.21208546908368e-05,-0.3917064516129033,0.2107015220175365,0.016129032258064516,-0.782258064516129,0.007203617415189661,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08601893333333334,0.1095864330480537,0.896,-0.36,0.012539169028048653,106.59924396466039,16.34725522033448,149.19150062937078,75.28736654276857,298.9968935005656,-0.00025171084337349413,0.011117648855723049,0.033493975903614456,-0.03710843373493976,6.47917173362934e-05,-0.3643967741935484,0.2181298368238494,0.03225806451612903,-0.7580645161290323,0.007487950736897274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08606293333333334,0.1084827398224969,0.868,-0.364,0.012206403686856564,107.35256553393103,16.365421849955766,150.57473308553713,81.41311027721954,298.5272019190814,-0.0006697831325301204,0.01046687639445576,0.038313253012048194,-0.04048192771084337,4.815638967413503e-05,-0.3851494623655914,0.23100407640306714,0.10483870967741936,-0.7983870967741935,0.008103484561038304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08575706666666667,0.10777395688845964,0.87,-0.35,0.01216925674269851,106.12425511285532,16.050586609056474,148.99389599277558,81.41311027721954,286.4378100814229,-0.00015836144578313253,0.011237818371688897,0.03566265060240964,-0.03590361445783133,5.842613832470328e-05,-0.361305376344086,0.22772220310100963,0.11290322580645161,-0.7661290322580645,0.008044023733628194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08615013333333334,0.10938696750519333,0.888,-0.336,0.012401303922396618,109.27452092402564,16.826538709847018,153.14359336127464,77.85622681850607,314.5645897221952,-0.000568562248995984,0.011179340472758143,0.047228915662650604,-0.03975903614457831,6.713011788559358e-05,-0.3754817204301075,0.21819455623997555,0.07258064516129033,-0.7580645161290323,0.007784307960383051,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.08564800000000002,0.10855698762708307,0.868,-0.344,0.012291708428507813,108.80933326219565,16.51012689612226,153.53880263446501,84.77238909933783,311.3568852659439,-0.00023055421686746984,0.01168419845625709,0.037590361445783135,-0.03903614457831325,7.961573605293006e-05,-0.3851817204301075,0.20777361659572244,0.03225806451612903,-0.7661290322580645,0.007554850986761696,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.08626426666666667,0.1070433085085762,0.864,-0.346,0.011825933020524473,108.06001648022671,16.565924197882946,148.99389599277558,78.84425000148204,302.8949458497522,-0.00047150200803212856,0.010962766073237014,0.034457831325301204,-0.039879518072289157,5.202698650349542e-05,-0.3637010752688172,0.2018642431505282,0.016129032258064516,-0.8064516129032258,0.007026093674800284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08584373333333332,0.10721731754119243,0.864,-0.346,0.011807531225826,108.0015518550794,16.83882989393771,150.9699423587275,78.44904072829165,312.39929888407477,-0.00048065863453815267,0.01188766000447497,0.038072289156626506,-0.03771084337349397,5.9352416490018645e-05,-0.38108387096774193,0.1902752037989042,-0.0,-0.7338709677419355,0.006804495421819481,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.08590133333333333,0.1073830371375707,0.862,-0.35,0.011929308196818129,108.70544591791636,16.757478773351234,153.14359336127464,78.84425000148204,315.35182535889226,-0.00045616064257028116,0.010151374437802407,0.03409638554216868,-0.03265060240963855,5.319050437004934e-05,-0.37129784946236555,0.19967126194465706,-0.0,-0.782258064516129,0.006525911454304852,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0.08558133333333333,0.10699410911302028,0.868,-0.368,0.012156216762249556,108.52994665333495,16.73886455618474,153.73640727106022,77.06580827212531,320.91413791349237,-0.00021502008032128493,0.012435014039984437,0.03795180722891566,-0.04,6.463669376274396e-05,-0.37947204301075266,0.18957719665543415,-0.0,-0.75,0.006586744655263032,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.08625626666666666,0.10649705313949094,0.882,-0.362,0.011652494678490572,109.39592921274972,17.083616802263762,157.0956860931785,81.41311027721954,322.6250312240534,-0.0004581204819277108,0.009741502336567932,0.027710843373493974,-0.03566265060240964,5.3767841318112394e-05,-0.3737021505376344,0.21022956155696515,0.1532258064516129,-0.9032258064516129,0.0066514955282606135,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.0861416,0.10634027748744436,0.852,-0.348,0.011729601769686569,109.99641018243518,16.656660247480627,150.77233772213233,85.5628076457186,324.2483054804143,-8.549397590361458e-05,0.009508593878356751,0.03409638554216868,-0.043373493975903614,4.5615047965133265e-05,-0.3685193548387097,0.19606203100924108,-0.0,-0.7419354838709677,0.006647385527719021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
